"location","year","jumps","proportion"
"Mongolia",1963,0,0.0
"Heilongjiang",1963,0,0.0
"Jilin",1963,0,0.0
"Beijing",1963,0,0.0
"Hebei",1963,0,0.0
"Shandong",1963,0,0.0
"Henan",1963,0,0.0
"Jiangsu",1963,0,0.0
"Anhui",1963,0,0.0
"Shanghai",1963,0,0.0
"Hubei",1963,0,0.0
"Zhejiang",1963,0,0.0
"Tibet",1963,0,0.0
"Jiangxi",1963,0,0.0
"Hunan",1963,0,0.0
"Guizhou",1963,0,0.0
"Fujian",1963,0,0.0
"Yunnan",1963,0,0.0
"Taiwan",1963,0,0.0
"Guangdong",1963,0,0.0
"Guangxi",1963,0,0.0
"HongKong",1963,0,0.0
"Outside",1963,0,0.0
"Mongolia",1964,0,0.0
"Heilongjiang",1964,0,0.0
"Jilin",1964,0,0.0
"Beijing",1964,0,0.0
"Hebei",1964,0,0.0
"Shandong",1964,0,0.0
"Henan",1964,0,0.0
"Jiangsu",1964,0,0.0
"Anhui",1964,0,0.0
"Shanghai",1964,0,0.0
"Hubei",1964,0,0.0
"Zhejiang",1964,1,0.25
"Tibet",1964,0,0.0
"Jiangxi",1964,0,0.0
"Hunan",1964,0,0.0
"Guizhou",1964,0,0.0
"Fujian",1964,0,0.0
"Yunnan",1964,0,0.0
"Taiwan",1964,0,0.0
"Guangdong",1964,0,0.0
"Guangxi",1964,0,0.0
"HongKong",1964,0,0.0
"Outside",1964,0,0.0
"Mongolia",1965,0,0.0
"Heilongjiang",1965,0,0.0
"Jilin",1965,0,0.0
"Beijing",1965,0,0.0
"Hebei",1965,0,0.0
"Shandong",1965,0,0.0
"Henan",1965,0,0.0
"Jiangsu",1965,0,0.0
"Anhui",1965,0,0.0
"Shanghai",1965,0,0.0
"Hubei",1965,0,0.0
"Zhejiang",1965,0,0.0
"Tibet",1965,0,0.0
"Jiangxi",1965,0,0.0
"Hunan",1965,1,0.25
"Guizhou",1965,0,0.0
"Fujian",1965,0,0.0
"Yunnan",1965,0,0.0
"Taiwan",1965,0,0.0
"Guangdong",1965,0,0.0
"Guangxi",1965,0,0.0
"HongKong",1965,0,0.0
"Outside",1965,0,0.0
"Mongolia",1966,0,0.0
