year	Mongolia	Heilongjiang	Jilin	Beijing	Hebei	Shandong	Henan	Jiangsu	Anhui	Shanghai	Hubei	Zhejiang	Tibet	Jiangxi	Hunan	Guizhou	Fujian	Yunnan	Taiwan	Guangdong	Guangxi	HongKong	Outside	total	lineages
1963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1964	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	4
1965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	4
1966	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1969	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1970	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	4
1971	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	3	0	5	7
1972	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2
1973	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	5
1974	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2
1975	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	3	10
1976	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	9
1977	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	8
1978	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
1979	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	4	17
1980	0	0	0	0	0	0	0	1	0	0	1	0	0	2	1	0	0	0	0	0	0	0	2	7	25
1981	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	9
1982	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
1983	0	1	0	0	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	2	0	8	26
1984	0	0	0	0	1	0	0	1	0	0	1	0	0	2	1	0	0	0	0	0	0	1	2	9	35
1985	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	3	1	0	2	9	46
1986	0	0	0	0	1	0	0	0	0	1	2	0	0	0	1	0	0	0	0	2	1	0	4	12	48
1987	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	0	0	0	0	0	2	0	6	12	37
1988	1	0	0	0	0	0	0	0	0	0	0	0	0	5	3	0	0	0	0	1	1	0	1	12	47
1989	1	0	0	0	0	0	1	0	0	0	1	0	0	3	1	0	1	1	0	3	0	1	8	21	71
1990	3	0	0	0	1	0	1	0	0	1	0	1	0	1	2	1	0	0	0	0	0	5	10	26	90
1991	2	0	0	0	2	0	1	1	0	0	0	0	0	1	7	0	0	0	4	5	0	4	9	36	78
1992	0	1	0	0	0	0	0	0	0	0	0	0	0	6	4	1	0	0	2	8	1	1	7	31	86
1993	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	4	0	1	6	1	1	6	21	79
1994	0	1	0	0	0	0	0	1	0	3	0	0	0	2	4	0	1	0	3	8	5	1	7	36	156
1995	0	0	0	0	2	0	1	0	0	3	0	0	0	8	3	0	0	0	2	10	1	8	5	43	277
1996	0	0	0	0	2	0	0	10	0	0	0	0	0	8	4	0	0	0	5	9	1	12	14	65	350
1997	1	0	0	0	1	0	2	0	0	2	0	1	1	5	4	0	0	0	2	10	6	13	12	60	428
1998	0	0	1	0	0	0	0	0	0	1	1	0	0	9	1	0	2	0	3	30	8	6	4	66	461
1999	2	0	0	0	0	0	3	1	0	0	2	0	0	21	6	0	2	0	10	25	1	4	17	94	541
2000	3	0	0	0	0	0	0	0	0	0	3	0	0	25	8	0	0	0	1	70	0	11	15	136	721
2001	8	0	0	0	0	0	0	4	0	0	5	1	0	22	11	2	0	0	3	18	6	0	4	84	593
2002	12	0	0	0	9	1	0	5	0	1	0	2	0	14	5	0	7	1	14	13	3	2	14	103	789
2003	1	0	0	9	0	0	0	10	0	1	4	3	0	7	20	0	1	4	6	20	23	1	20	130	758
2004	0	1	0	2	0	0	0	0	0	0	5	2	0	14	6	21	11	0	0	22	24	3	31	142	920
2005	7	0	0	0	2	1	0	2	0	5	0	0	0	17	17	8	1	6	0	19	27	7	61	180	1007
2006	2	0	0	0	0	3	0	9	0	8	0	0	0	11	2	8	1	0	0	3	3	16	53	119	897
2007	0	0	0	0	0	6	0	3	0	6	0	3	0	26	18	4	7	0	4	2	7	34	31	151	976
2008	0	0	0	0	4	12	0	11	0	6	3	3	2	34	11	0	0	0	2	2	10	13	24	137	752
2009	0	0	0	0	0	0	0	11	0	8	0	12	10	18	9	1	0	0	0	0	13	2	40	124	882
2010	0	0	0	0	0	0	0	5	0	1	0	9	0	4	22	4	0	0	0	0	11	12	8	76	800
2011	0	0	0	0	0	0	0	6	0	0	0	0	0	5	17	0	0	0	0	0	13	0	11	52	526
2012	0	0	0	7	0	0	0	0	4	8	0	15	0	1	1	0	0	0	0	0	0	0	9	45	342
2013	0	0	0	0	0	0	0	8	6	11	0	10	0	0	0	0	0	0	0	0	0	0	1	36	432
