year	Mongolia	Heilongjiang	Jilin	Beijing	Hebei	Shandong	Henan	Jiangsu	Anhui	Shanghai	Hubei	Zhejiang	Tibet	Jiangxi	Hunan	Guizhou	Fujian	Yunnan	Taiwan	Guangdong	Guangxi	HongKong	Outside	total	lineages
1963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1964	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	3	4
1965	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	3	4
1966	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1
1969	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1970	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2	4
1971	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	4	7
1972	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	2
1973	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	3	5
1974	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2
1975	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	2	1	0	0	0	5	10
1976	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	1	0	0	0	0	1	0	5	9
1977	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	3	8
1978	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	3	10
1979	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	2	0	1	7	17
1980	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	1	2	0	2	1	10	25
1981	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	9
1982	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	2	0	5	10
1983	0	1	0	0	1	0	0	1	0	0	0	1	0	2	3	0	0	0	0	1	1	1	0	12	26
1984	0	0	0	0	1	0	1	1	0	0	1	0	0	2	2	0	0	0	0	3	1	4	3	19	35
1985	0	0	0	0	0	1	0	0	0	0	1	1	2	2	4	0	2	0	0	4	0	0	4	21	46
1986	0	0	0	0	1	0	1	1	0	1	3	0	0	4	3	0	0	0	0	3	0	0	6	23	48
1987	1	0	0	0	0	0	0	0	0	0	2	0	0	2	2	0	0	0	0	1	1	1	6	16	37
1988	2	0	0	0	0	0	0	0	0	0	0	0	0	5	6	1	0	0	0	3	0	0	1	18	47
1989	2	0	0	0	0	0	1	0	0	0	1	0	0	7	5	0	0	0	0	1	1	0	11	29	71
1990	4	0	0	0	0	0	0	0	0	0	0	0	0	8	3	0	0	0	0	2	2	1	10	30	90
1991	2	0	0	0	0	0	0	0	0	1	0	0	0	1	3	0	0	0	0	3	1	3	13	27	78
1992	0	1	0	0	0	1	0	0	0	0	0	0	0	2	4	0	0	0	5	17	2	4	12	48	86
1993	0	1	0	0	0	0	0	1	0	0	0	0	0	1	2	0	0	0	4	4	2	0	8	23	79
1994	0	1	0	0	0	0	0	0	0	3	0	0	0	3	5	0	0	0	1	3	0	0	11	27	156
1995	0	0	0	0	3	0	0	0	0	3	0	0	0	6	1	0	0	0	0	4	0	7	12	36	277
1996	2	0	0	0	3	0	0	0	0	0	0	0	0	9	6	0	0	0	1	6	0	5	16	48	350
1997	4	0	0	0	2	0	0	0	0	1	0	1	0	11	10	2	1	0	0	4	4	14	6	60	428
1998	8	0	0	0	0	1	0	0	0	1	0	2	0	13	1	1	2	0	2	22	10	3	8	74	461
1999	2	0	0	0	0	0	0	0	0	0	3	0	0	12	0	0	0	0	0	10	1	0	22	50	541
2000	11	0	0	0	0	0	0	0	0	0	1	0	0	3	5	0	0	0	3	10	0	5	18	56	721
2001	4	0	0	0	0	0	0	7	0	0	2	0	0	11	18	0	0	0	1	2	10	0	17	72	593
2002	7	1	0	0	0	1	0	11	0	1	0	3	0	28	8	5	1	0	17	7	11	1	7	109	789
2003	0	5	0	1	0	0	0	4	0	0	0	7	0	24	3	4	0	1	2	8	2	0	16	77	758
2004	0	4	0	0	0	0	0	14	0	0	0	6	0	37	8	13	0	0	0	1	19	2	33	137	920
2005	1	0	0	0	0	0	0	1	0	1	0	0	0	42	0	4	0	7	0	8	25	2	34	125	1007
2006	4	0	0	0	0	0	0	7	0	5	0	0	0	25	6	4	1	0	0	5	4	21	63	145	897
2007	0	0	0	0	0	1	0	11	0	5	0	3	0	39	15	7	13	0	8	3	4	27	27	163	976
2008	0	0	0	0	10	12	0	14	0	2	0	8	0	41	8	0	0	0	2	5	10	21	50	183	752
2009	0	0	0	0	0	0	0	13	0	13	1	13	5	15	10	0	0	0	0	0	26	34	39	169	882
2010	0	0	0	0	10	1	0	25	0	18	0	27	5	4	28	5	0	0	0	2	9	12	7	153	800
2011	0	0	0	0	0	0	0	16	0	9	0	28	0	4	34	0	0	0	0	11	0	0	23	125	526
2012	0	0	0	0	0	0	0	0	0	12	0	21	0	1	1	0	0	0	0	0	0	0	8	43	342
2013	0	0	0	0	0	0	0	1	0	7	0	0	0	0	0	0	0	0	0	0	0	0	2	10	432
