year	Mongolia	Heilongjiang	Jilin	Beijing	Hebei	Shandong	Henan	Jiangsu	Anhui	Shanghai	Hubei	Zhejiang	Tibet	Jiangxi	Hunan	Guizhou	Fujian	Yunnan	Taiwan	Guangdong	Guangxi	HongKong	Outside	total	lineages
1963	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
1964	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0	0	4	4
1965	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	4	4
1966	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1
1969	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1970	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2	4
1971	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	0	5	7
1972	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	2
1973	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	3	5
1974	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	2	2
1975	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	2	1	0	1	0	6	10
1976	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	1	0	0	0	0	1	0	5	9
1977	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	3	8
1978	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	3	10
1979	0	0	0	0	0	0	1	1	0	0	0	0	0	0	2	0	0	0	1	0	2	0	1	8	17
1980	1	1	0	0	1	0	1	1	0	0	1	0	0	1	1	0	0	0	1	2	0	2	1	14	25
1981	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	5	9
1982	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	2	0	5	10
1983	0	1	0	0	2	0	0	1	0	0	0	1	0	2	3	0	0	0	0	1	2	2	1	16	26
1984	0	0	0	0	1	0	1	1	0	0	1	0	0	3	3	0	0	0	0	3	1	4	3	21	35
1985	0	0	0	0	0	1	0	0	0	1	1	1	2	2	5	0	2	0	0	5	1	0	5	26	46
1986	0	0	0	0	1	0	1	1	0	1	3	0	1	4	3	0	0	0	0	3	0	1	7	26	48
1987	1	0	0	0	0	0	0	0	0	0	2	0	0	4	2	0	0	0	0	2	2	2	6	21	37
1988	3	0	0	0	0	0	0	1	0	0	0	0	0	6	7	1	0	0	0	3	0	2	1	24	47
1989	2	0	0	0	0	1	1	0	0	0	1	0	0	9	5	0	0	1	0	2	1	1	13	37	71
1990	4	0	0	0	0	0	0	0	0	1	0	1	0	12	4	1	0	0	0	5	2	5	15	50	90
1991	2	0	0	0	2	0	0	0	0	1	0	0	0	2	4	0	0	0	0	3	1	5	17	37	78
1992	0	1	0	0	0	1	0	0	0	0	0	0	0	2	8	0	0	0	6	20	2	5	16	61	86
1993	0	1	0	0	0	0	0	1	0	0	0	0	0	1	2	0	3	0	4	9	3	1	11	36	79
1994	0	1	0	0	0	0	0	0	0	3	0	0	0	5	6	0	0	0	1	10	4	0	11	41	156
1995	0	0	0	0	5	0	1	1	0	5	0	0	0	13	4	0	0	0	1	10	1	15	17	73	277
1996	2	0	0	0	5	0	1	1	0	0	0	0	0	14	9	0	0	0	1	19	2	8	23	85	350
1997	4	0	1	0	2	0	1	1	0	1	0	1	0	18	16	3	1	0	0	16	8	18	12	103	428
1998	8	0	1	0	0	1	0	1	0	1	1	2	1	14	3	1	2	0	3	46	18	3	11	117	461
1999	6	1	0	0	0	0	0	0	0	1	4	0	0	25	3	0	0	0	0	24	2	0	32	98	541
2000	14	0	0	0	0	0	0	0	0	0	2	0	0	15	21	0	0	0	4	51	0	6	24	137	721
2001	8	0	0	0	0	0	0	10	0	0	3	0	0	21	24	3	0	0	1	11	12	0	22	115	593
2002	11	1	0	0	0	1	0	12	0	1	0	3	0	50	13	10	3	0	20	24	24	2	13	188	789
2003	1	5	0	2	0	0	1	5	0	1	2	8	1	46	18	7	0	1	4	30	21	0	25	178	758
2004	0	5	0	0	1	1	0	18	0	0	1	8	0	66	11	23	16	0	0	23	49	5	46	273	920
2005	2	0	0	0	0	0	0	2	0	1	0	0	0	61	4	25	27	7	0	39	62	4	57	291	1007
2006	5	0	0	0	0	0	0	8	0	8	0	0	0	39	6	20	29	2	0	24	34	24	86	285	897
2007	0	0	0	0	0	1	0	11	0	10	0	3	0	47	23	14	26	0	8	4	6	34	38	225	976
2008	0	0	0	0	10	12	0	15	0	2	2	8	0	66	16	0	0	0	2	8	16	22	64	243	752
2009	0	0	0	0	0	0	0	16	0	14	1	16	5	42	17	1	0	0	0	0	26	34	56	228	882
2010	0	0	0	0	10	2	0	31	0	24	0	31	5	25	30	9	0	0	0	3	11	27	10	218	800
2011	0	0	0	0	0	0	0	17	0	9	0	34	0	7	35	1	0	0	0	20	0	0	23	146	526
2012	0	0	0	0	0	1	0	0	0	13	0	23	0	2	1	0	0	0	0	1	0	0	21	62	342
2013	0	0	0	0	0	0	0	1	0	7	0	1	0	0	0	0	0	0	0	0	0	0	2	11	432
