year	Mongolia	Heilongjiang	Jilin	Beijing	Hebei	Shandong	Henan	Jiangsu	Anhui	Shanghai	Hubei	Zhejiang	Tibet	Jiangxi	Hunan	Guizhou	Fujian	Yunnan	Taiwan	Guangdong	Guangxi	HongKong	Outside	total	lineages
1963	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
1964	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	4
1965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	2	4
1966	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1969	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1970	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	4
1971	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	0	5	7
1972	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2
1973	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	2	5
1974	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2
1975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	2	10
1976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
1977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
1978	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
1979	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	2	17
1980	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	2	0	1	0	7	25
1981	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	5	9
1982	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	10
1983	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	2	1	8	26
1984	0	0	0	0	1	0	1	1	0	0	1	0	0	2	1	0	0	0	0	1	1	1	0	10	35
1985	0	0	0	0	0	0	0	0	0	1	0	0	1	0	2	0	2	0	0	4	1	0	1	12	46
1986	0	0	0	0	0	0	0	1	0	0	2	0	1	2	2	0	0	0	0	1	0	1	4	14	48
1987	1	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	2	1	1	5	13	37
1988	3	0	0	0	0	0	0	1	0	0	0	0	0	2	2	0	0	0	0	1	0	2	1	12	47
1989	1	0	0	0	0	1	1	0	0	0	0	0	0	6	3	0	0	1	0	1	0	1	11	26	71
1990	0	0	0	0	0	0	0	0	0	1	0	1	0	10	2	1	0	0	0	4	0	4	13	36	90
1991	0	0	0	0	2	0	0	0	0	1	0	0	0	2	2	0	0	0	0	3	1	3	14	28	78
1992	0	1	0	0	0	1	0	0	0	0	0	0	0	1	5	0	0	0	4	11	1	2	14	40	86
1993	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	7	3	1	9	26	79
1994	0	1	0	0	0	0	0	0	0	2	0	0	0	5	4	0	0	0	0	10	4	0	7	33	156
1995	0	0	0	0	3	0	1	1	0	4	0	0	0	12	3	0	0	0	1	8	1	9	15	58	277
1996	1	0	0	0	4	0	1	1	0	0	0	0	0	10	8	0	0	0	0	15	2	4	22	68	350
1997	0	0	1	0	1	0	1	1	0	0	0	1	0	12	7	2	1	0	0	13	5	6	10	61	428
1998	0	0	1	0	0	0	0	1	0	0	1	2	1	11	2	0	2	0	1	35	14	0	5	76	461
1999	5	1	0	0	0	0	0	0	0	1	4	0	0	22	3	0	0	0	0	16	1	0	17	70	541
2000	3	0	0	0	0	0	0	0	0	0	2	0	0	12	21	0	0	0	1	47	0	6	22	114	721
2001	8	0	0	0	0	0	0	7	0	0	3	0	0	12	18	3	0	0	0	10	11	0	17	89	593
2002	11	1	0	0	0	1	0	11	0	1	0	2	0	34	12	8	2	0	18	20	22	2	13	158	789
2003	1	5	0	1	0	0	1	3	0	1	2	2	1	33	16	7	0	0	4	29	19	0	19	144	758
2004	0	5	0	0	1	1	0	14	0	0	1	5	0	46	6	23	16	0	0	22	43	5	29	217	920
2005	2	0	0	0	0	0	0	2	0	1	0	0	0	45	4	24	27	3	0	34	44	2	48	236	1007
2006	4	0	0	0	0	0	0	6	0	7	0	0	0	26	1	18	28	2	0	23	33	16	68	232	897
2007	0	0	0	0	0	0	0	11	0	9	0	0	0	33	13	9	23	0	8	3	5	29	31	174	976
2008	0	0	0	0	8	12	0	12	0	1	2	1	0	48	15	0	0	0	2	7	11	6	51	176	752
2009	0	0	0	0	0	0	0	5	0	11	0	13	0	34	16	1	0	0	0	0	15	10	42	147	882
2010	0	0	0	0	0	1	0	14	0	19	0	12	0	21	30	8	0	0	0	3	6	19	8	141	800
2011	0	0	0	0	0	0	0	6	0	6	0	19	0	7	13	1	0	0	0	17	0	0	15	84	526
2012	0	0	0	0	0	1	0	0	0	13	0	22	0	2	0	0	0	0	0	1	0	0	20	59	342
2013	0	0	0	0	0	0	0	0	0	6	0	1	0	0	0	0	0	0	0	0	0	0	2	9	432
